Eiendom,Spotprisår,Kostnad for vannbåren varme (kr),Kilde vannbåren varme,Kilde andre kostnader,Beregningstid (år),Diskonteringsrente (%),Nåverdi bergvarme (kr),Nåverdi luft-luft-varmepumpe (kr),Differanse (kr),Forklaring
Markalleen 26B,2024,276540,Asplan Viak,Sweco,40,4,-19173,-46031,26858,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,60,6,32056,-4925,36981,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,50,4,11642,-21047,32689,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,30,4,-82070,-71130,-10940,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,60,4,40347,-1067,41414,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,40,4,-19173,-46031,26858,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,30,5,-122157,-99843,-22314,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,50,4,11642,-21047,32689,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,40,5,-76789,-82283,5494,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,60,4,40347,-1067,41414,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,50,5,-56899,-65697,8798,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,30,5,-122157,-99843,-22314,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,60,5,-39800,-53796,13996,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,40,5,-76789,-82283,5494,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,30,6,-155985,-123872,-32113,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,50,5,-56899,-65697,8798,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,40,6,-123134,-111555,-11579,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,60,5,-39800,-53796,13996,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,50,6,-110240,-100491,-9749,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,30,6,-155985,-123872,-32113,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,60,6,-99997,-93361,-6636,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,40,6,-123134,-111555,-11579,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,30,4,-21014,-158028,137014,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,50,6,-110240,-100491,-9749,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,60,6,-99997,-93361,-6636,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,30,4,-21014,-158028,137014,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,40,4,64007,-143117,207124,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,50,4,98831,-122009,220840,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,60,4,137634,-95272,232906,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,30,5,-72551,-191179,118628,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,40,5,-11224,-181696,170472,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,50,5,11002,-167577,178579,Bergvarme er lønnsom
